time_step_hr,sc_x_km,sc_y_km,sc_z_km,sc_vx_km_s,sc_vy_km_s,sc_vz_km_s,mars_dist_km,mass_kg,thrust_cmd_N,thrust_theta_rad,thrust_phi_rad,anomaly_active
0,-127761765.999,67742862.352,29378238.56,19.16158263,-20.64057575,-8.94723395,101433572.19346218,2747.0,0.0,3.321261,0.0,False
1,-127692715.91462496,67668520.01864882,29346012.79252093,19.180578993067066,-20.650648153104154,-8.951602077519158,101531207.77909951,2747.0,0.0,3.1949108,0.0,False
2,-127623597.34070729,67594141.39046317,29313771.28495066,19.199603866021985,-20.66073005156783,-8.955974325075427,101632450.23072009,2747.0,0.0,3.1954224,0.0,False
3,-127554410.17432053,67519726.43318832,29281514.022426035,19.218657329653556,-20.670821465236823,-8.960350701284217,101733762.19170186,2747.0,0.0,3.195934,0.0,False
4,-127485154.31224626,67445275.11249787,29249240.990052808,19.23773946507519,-20.680922414013654,-8.964731214785575,101835143.71606682,2747.0,0.0,3.1964452,0.0,False
5,-127415829.65097284,67370787.39399357,29216952.172905527,19.256850353726595,-20.691032917857743,-8.969115874244274,101936594.85830107,2747.0,0.0,3.196956,0.0,False
6,-127346436.08669429,67296263.24320515,29184647.55602747,19.275990077375486,-20.701152996785623,-8.9735046883499,102038115.67335638,2747.0,0.0,3.1974664,0.0,False
7,-127276973.51530905,67221702.62559001,29152327.124430526,19.295158718119296,-20.71128267087114,-8.977897665816936,102139706.21664914,2747.0,0.0,3.1979764,0.0,False
8,-127207441.83241886,67147105.50653313,29119990.863095142,19.3143563583869,-20.721421960245635,-8.98229481538485,102241366.54406226,2747.0,0.0,3.198486,0.0,False
9,-127137840.93332748,67072471.851346776,29087638.756970197,19.333583080940343,-20.731570885098176,-8.986696145818184,102343096.71194577,2747.0,0.0,3.1989956,0.0,False
10,-127068170.71303953,66997801.625270344,29055270.790972933,19.352838968876597,-20.74172946567573,-8.991101665906639,102444896.77711673,2747.0,0.0,3.1995046,0.0,False
11,-126998431.06625926,66923094.79347012,29022886.949988857,19.372124105629307,-20.751897722283374,-8.995511384465162,102546766.79686113,2747.0,0.0,3.2000134,0.0,False
12,-126928621.88738938,66848351.321039096,28990487.218871653,19.391438574970564,-20.76207567528451,-8.99992531033404,102648706.8289329,2747.0,0.0,3.200522,0.0,False
13,-126858743.07052973,66773571.17299673,28958071.58244309,19.410782461012683,-20.772263345101056,-9.004343452378984,102750716.93155631,2747.0,0.0,3.20103,0.0,False
14,-126788794.50947617,66698754.31428876,28925640.02549292,19.43015584821,-20.782460752213648,-9.008765819491217,102852797.16342601,2747.0,0.0,3.2015378,0.0,False
15,-126718776.09771927,66623900.709786974,28893192.532778807,19.449558821360664,-20.792667917161857,-9.013192420587567,102954947.5837064,2747.0,0.0,3.2020452,0.0,False
16,-126648687.72844307,66549010.32428902,28860729.08902621,19.468991465608465,-20.80288486054439,-9.017623264610553,103057168.25203566,2747.0,0.0,3.202552,0.0,False
17,-126578529.29452386,66474083.122518145,28828249.67892831,19.48845386644464,-20.813111603019284,-9.022058360528478,103159459.2285227,2747.0,0.0,3.2030594,0.0,False
18,-126508300.68852891,66399119.06912305,28795754.2871459,19.50794610970973,-20.823348165304132,-9.026497717335516,103261820.57375035,2747.0,0.0,3.2035654,0.0,False
19,-126438001.80271517,66324118.128677614,28763242.898307316,19.52746828159543,-20.833594568176288,-9.030941344051806,103364252.34877563,2747.0,0.0,3.2040713,0.0,False
20,-126367632.52902804,66249080.26568071,28730715.497008312,19.547020468646426,-20.84385083247306,-9.03538924972354,103466754.61512943,2747.0,0.0,3.2045772,0.0,False
21,-126297192.7591001,66174005.444555975,28698172.06781199,19.566602757762304,-20.854116979091938,-9.039841443423056,103569327.43481883,2747.0,0.0,3.2050827,0.0,False
22,-126226682.38424978,66098893.629651606,28665612.59524869,19.586215236199408,-20.864393028990794,-9.044297934248927,103671970.87032765,2747.0,0.0,3.2055876,0.0,False
23,-126156101.29548012,66023744.78524013,28633037.063815918,19.60585799157275,-20.8746790031881,-9.048758731326057,103774684.98461513,2747.0,0.0,3.2060921,0.0,False
24,-126085449.38347743,65948558.87551818,28600445.45797822,19.625531111857924,-20.884974922763128,-9.05322384380577,103877469.84111981,2747.0,0.0,3.2065966,0.0,False
25,-126014726.53861003,65873335.8646063,28567837.7621671,19.64523468539302,-20.89528080885618,-9.0576932808659,103980325.50375779,2747.0,0.0,3.2071004,0.0,False
26,-125943932.65092686,65798075.71654869,28535213.96078094,19.664968800880573,-20.90559668266879,-9.062167051710894,104083252.03692584,2747.0,0.0,3.2076042,0.0,False
27,-125873067.61015625,65722778.39531302,28502574.03818488,19.684733547389495,-20.91592256546393,-9.066645165571892,104186249.5054997,2747.0,0.0,3.2081072,0.0,False
28,-125802131.30570456,65647443.86479018,28469917.978710737,19.70452901435705,-20.926258478566243,-9.071127631706828,104289317.97483698,2747.0,0.0,3.2086103,0.0,False
29,-125731123.62665483,65572072.088794075,28437245.766656894,19.724355291590822,-20.936604443362253,-9.075614459400526,104392457.51077725,2747.0,0.0,3.2091131,0.0,False
30,-125660044.46176545,65496663.031061396,28404557.386288222,19.7442124692707,-20.94696048130057,-9.080105657964786,104495668.17964202,2747.0,0.0,3.209615,0.0,False
31,-125588893.69946884,65421216.655251384,28371852.821835965,19.76410063795089,-20.957326613892125,-9.084601236738488,104598950.04823746,2747.0,0.0,3.210117,0.0,False
32,-125517671.22787002,65345732.92494563,28339132.05749765,19.78401988856191,-20.96770286271037,-9.089101205087676,104702303.18385309,2747.0,0.0,3.2106187,0.0,False
33,-125446376.93474533,65270211.80364782,28306395.07743699,19.803970312412638,-20.978089249391513,-9.093605572405664,104805727.65426506,2747.0,0.0,3.21112,0.0,False
34,-125375010.70754103,65194653.25478354,28273641.865783785,19.823952001192335,-20.988485795634723,-9.098114348113127,104909223.52773428,2747.0,0.0,3.2116206,0.0,False
35,-125303572.43337193,65119057.241700016,28240872.406633817,19.843965046972706,-20.998892523202365,-9.102627541658192,105012790.87301002,2747.0,0.0,3.2121212,0.0,False
36,-125232061.99901998,65043423.7276659,28208086.684048757,19.864009542209967,-21.009309453920203,-9.107145162516543,105116429.75932904,2747.0,0.0,3.2126212,0.0,False
37,-125160479.2909329,64967752.67587106,28175284.68205607,19.884085579746923,-21.01973660967764,-9.111667220191512,105220140.25641696,2747.0,0.0,3.2131212,0.0,False
38,-125088824.19522277,64892044.04942632,28142466.384648897,19.90419325281507,-21.030174012427928,-9.116193724214174,105323922.43448937,2747.0,0.0,3.2136204,0.0,False
39,-125017096.59766464,64816297.81136324,28109631.77578598,19.924332655036697,-21.040621684188398,-9.120724684143452,105427776.3642519,2747.0,0.0,3.2141194,0.0,False
40,-124945296.3836951,64740513.9246339,28076780.83939154,19.94450388042701,-21.05107964704068,-9.125260109566208,105531702.1169038,2747.0,0.0,3.214618,0.0,False
41,-124873423.43841086,64664692.352110624,28043913.559355192,19.96470702339627,-21.06154792313093,-9.12980001009734,105635699.7641344,2747.0,0.0,3.2151165,0.0,False
42,-124801477.64656736,64588833.05658581,28011029.919531826,19.984942178751943,-21.072026534670055,-9.134344395379886,105739769.37812841,2747.0,0.0,3.2156146,0.0,False
43,-124729458.89257723,64512936.00077165,27978129.90374152,20.005209441700874,-21.08251550393394,-9.138893275085119,105843911.03156467,2747.0,0.0,3.2161124,0.0,False
44,-124657367.06050897,64437001.1472999,27945213.495769434,20.02550890785145,-21.093014853263675,-9.143446658912643,105948124.79761694,2747.0,0.0,3.2166095,0.0,False
45,-124585202.0340854,64361028.45872167,27912280.67936571,20.045840673215807,-21.10352460506578,-9.1480045565905,106052410.74995637,2747.0,0.0,3.2171066,0.0,False
46,-124512963.69668223,64285017.897507146,27879331.43824536,20.06620483421204,-21.11404478181244,-9.152566977875262,106156768.96275099,2747.0,0.0,3.217603,0.0,False
47,-124440651.93132663,64208969.426045395,27846365.75608817,20.086601487666428,-21.124575406041725,-9.157133932552135,106261199.51066758,2747.0,0.0,3.2180994,0.0,False
48,-124368266.6206957,64132883.00664411,27813383.616538607,20.10703073081566,-21.13511650035783,-9.161705430435058,106365702.46887223,2747.0,0.0,3.2185948,0.0,False
49,-124295807.64711498,64056758.60152935,27780385.003205687,20.1274926613091,-21.14566808743131,-9.166281481366802,106470277.91303164,2747.0,0.0,3.2190905,0.0,False
50,-124223274.89255701,63980596.172845356,27747369.899662897,20.14798737721106,-21.15623018999929,-9.170862095219075,106574925.91931424,2747.0,0.0,3.2195857,0.0,False
51,-124150668.2386398,63904395.68265424,27714338.289448082,20.168514977003078,-21.166802830865723,-9.17544728189262,106679646.56439117,2747.0,0.0,3.2200806,0.0,False
52,-124077987.5666253,63828157.09293579,27681290.15606334,20.18907555958622,-21.177386032901605,-9.180037051317315,106784439.92543624,2747.0,0.0,3.2205749,0.0,False
53,-124005232.75741787,63751880.36558723,27648225.482974913,20.2096692242834,-21.187979819045218,-9.184631413452284,106889306.08012916,2747.0,0.0,3.221069,0.0,False
54,-123932403.69156285,63675565.46242294,27615144.253613085,20.230296070841696,-21.198584212302364,-9.189230378285986,106994245.10665461,2747.0,0.0,3.2215629,0.0,False
55,-123859500.24924488,63599212.34517425,27582046.451372072,20.250956199434718,-21.209199235746606,-9.193833955836329,107099257.08370471,2747.0,0.0,3.2220564,0.0,False
56,-123786522.31028649,63522820.975489184,27548932.05960993,20.27164971066496,-21.219824912519492,-9.198442156150765,107204342.09047912,2747.0,0.0,3.2225492,0.0,False
57,-123713469.75414646,63446391.31493219,27515801.06164843,20.292376705566184,-21.2304612658308,-9.2030549893064,107309500.20668703,2747.0,0.0,3.2230418,0.0,False
58,-123640342.45991828,63369923.32498394,27482653.44077295,20.313137285605805,-21.241108318958776,-9.207672465410093,107414731.51254661,2747.0,0.0,3.2235339,0.0,False
59,-123567140.3063286,63293416.96704104,27449489.180232394,20.333931552687318,-21.251766095250378,-9.21229459459856,107520036.08878873,2747.0,0.0,3.224026,0.0,False
60,-123493863.17173564,63216872.2024158,27416308.263239056,20.354759609152712,-21.2624346181215,-9.216921387038482,107625414.01665546,2747.0,0.0,3.2245176,0.0,False
61,-123420510.93412761,63140288.992336,27383110.67296852,20.37562155778493,-21.27311391105723,-9.221552852926607,107730865.37790367,2747.0,0.0,3.2250087,0.0,False
